DSA|Title|Level|Question|YoutubeLink
Linked List|LRU Cache|Medium|<div class="elfjS" data-track-load="description_content"><p>Design a data structure that follows the constraints of a <strong><a href="https://en.wikipedia.org/wiki/Cache_replacement_policies#LRU" target="_blank">Least Recently Used (LRU) cache</a></strong>.</p> <p>Implement the <code>LRUCache</code> class:</p> <ul> 	<li><code>LRUCache(int capacity)</code> Initialize the LRU cache with <strong>positive</strong> size <code>capacity</code>.</li> 	<li><code>int get(int key)</code> Return the value of the <code>key</code> if the key exists, otherwise return <code>-1</code>.</li> 	<li><code>void put(int key, int value)</code> Update the value of the <code>key</code> if the <code>key</code> exists. Otherwise, add the <code>key-value</code> pair to the cache. If the number of keys exceeds the <code>capacity</code> from this operation, <strong>evict</strong> the least recently used key.</li> </ul> <p>The functions <code>get</code> and <code>put</code> must each run in <code>O(1)</code> average time complexity.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input</strong> ["LRUCache", "put", "put", "get", "put", "get", "put", "get", "get", "get"] [[2], [1, 1], [2, 2], [1], [3, 3], [2], [4, 4], [1], [3], [4]] <strong>Output</strong> [null, null, null, 1, null, -1, null, -1, 3, 4] <strong>Explanation</strong> LRUCache lRUCache = new LRUCache(2); lRUCache.put(1, 1); // cache is {1=1} lRUCache.put(2, 2); // cache is {1=1, 2=2} lRUCache.get(1);    // return 1 lRUCache.put(3, 3); // LRU key was 2, evicts key 2, cache is {1=1, 3=3} lRUCache.get(2);    // returns -1 (not found) lRUCache.put(4, 4); // LRU key was 1, evicts key 1, cache is {4=4, 3=3} lRUCache.get(1);    // return -1 (not found) lRUCache.get(3);    // return 3 lRUCache.get(4);    // return 4 </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= capacity &lt;= 3000</code></li> 	<li><code>0 &lt;= key &lt;= 10<sup>4</sup></code></li> 	<li><code>0 &lt;= value &lt;= 10<sup>5</sup></code></li> 	<li>At most <code>2 * 10<sup>5</sup></code> calls will be made to <code>get</code> and <code>put</code>.</li> </ul> </div>|https://www.youtube.com/watch?v=7ABFKPK2hD4
Linked List|Merge K Sorted Lists|Hard|<div class="elfjS" data-track-load="description_content"><p>You are given an array of <code>k</code> linked-lists <code>lists</code>, each linked-list is sorted in ascending order.</p> <p><em>Merge all the linked-lists into one sorted linked-list and return it.</em></p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input:</strong> lists = [[1,4,5],[1,3,4],[2,6]] <strong>Output:</strong> [1,1,2,3,4,4,5,6] <strong>Explanation:</strong> The linked-lists are: [   1-&gt;4-&gt;5,   1-&gt;3-&gt;4,   2-&gt;6 ] merging them into one sorted list: 1-&gt;1-&gt;2-&gt;3-&gt;4-&gt;4-&gt;5-&gt;6 </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> lists = [] <strong>Output:</strong> [] </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> lists = [[]] <strong>Output:</strong> [] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>k == lists.length</code></li> 	<li><code>0 &lt;= k &lt;= 10<sup>4</sup></code></li> 	<li><code>0 &lt;= lists[i].length &lt;= 500</code></li> 	<li><code>-10<sup>4</sup> &lt;= lists[i][j] &lt;= 10<sup>4</sup></code></li> 	<li><code>lists[i]</code> is sorted in <strong>ascending order</strong>.</li> 	<li>The sum of <code>lists[i].length</code> will not exceed <code>10<sup>4</sup></code>.</li> </ul> </div>|https://www.youtube.com/watch?v=q5a5OiGbT6Q
Linked List|Reverse Nodes In K Group|Hard|<div class="elfjS" data-track-load="description_content"><p>Given the <code>head</code> of a linked list, reverse the nodes of the list <code>k</code> at a time, and return <em>the modified list</em>.</p> <p><code>k</code> is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of <code>k</code> then left-out nodes, in the end, should remain as it is.</p> <p>You may not alter the values in the list's nodes, only nodes themselves may be changed.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/10/03/reverse_ex1.jpg" style="width: 542px; height: 222px;"> <pre><strong>Input:</strong> head = [1,2,3,4,5], k = 2 <strong>Output:</strong> [2,1,4,3,5] </pre> <p><strong class="example">Example 2:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/10/03/reverse_ex2.jpg" style="width: 542px; height: 222px;"> <pre><strong>Input:</strong> head = [1,2,3,4,5], k = 3 <strong>Output:</strong> [3,2,1,4,5] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the list is <code>n</code>.</li> 	<li><code>1 &lt;= k &lt;= n &lt;= 5000</code></li> 	<li><code>0 &lt;= Node.val &lt;= 1000</code></li> </ul> <p>&nbsp;</p> <p><strong>Follow-up:</strong> Can you solve the problem in <code>O(1)</code> extra memory space?</p> </div>|https://www.youtube.com/watch?v=1UOPsfP85V4
Trees|Invert Binary Tree|Easy|<div class="elfjS" data-track-load="description_content"><p>Given the <code>root</code> of a binary tree, invert the tree, and return <em>its root</em>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/03/14/invert1-tree.jpg" style="width: 500px; height: 165px;"> <pre><strong>Input:</strong> root = [4,2,7,1,3,6,9] <strong>Output:</strong> [4,7,2,9,6,3,1] </pre> <p><strong class="example">Example 2:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/03/14/invert2-tree.jpg" style="width: 500px; height: 120px;"> <pre><strong>Input:</strong> root = [2,1,3] <strong>Output:</strong> [2,3,1] </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> root = [] <strong>Output:</strong> [] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[0, 100]</code>.</li> 	<li><code>-100 &lt;= Node.val &lt;= 100</code></li> </ul> </div>|https://www.youtube.com/watch?v=OnSn2XEQ4MY
Trees|Maximum Depth of Binary Tree|Easy|<div class="elfjS" data-track-load="description_content"><p>Given the <code>root</code> of a binary tree, return <em>its maximum depth</em>.</p> <p>A binary tree's <strong>maximum depth</strong>&nbsp;is the number of nodes along the longest path from the root node down to the farthest leaf node.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/11/26/tmp-tree.jpg" style="width: 400px; height: 277px;"> <pre><strong>Input:</strong> root = [3,9,20,null,null,15,7] <strong>Output:</strong> 3 </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> root = [1,null,2] <strong>Output:</strong> 2 </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[0, 10<sup>4</sup>]</code>.</li> 	<li><code>-100 &lt;= Node.val &lt;= 100</code></li> </ul> </div>|https://www.youtube.com/watch?v=hTM3phVI6YQ
Trees|Diameter of Binary Tree|Easy|<div class="elfjS" data-track-load="description_content"><p>Given the <code>root</code> of a binary tree, return <em>the length of the <strong>diameter</strong> of the tree</em>.</p> <p>The <strong>diameter</strong> of a binary tree is the <strong>length</strong> of the longest path between any two nodes in a tree. This path may or may not pass through the <code>root</code>.</p> <p>The <strong>length</strong> of a path between two nodes is represented by the number of edges between them.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/03/06/diamtree.jpg" style="width: 292px; height: 302px;"> <pre><strong>Input:</strong> root = [1,2,3,4,5] <strong>Output:</strong> 3 <strong>Explanation:</strong> 3 is the length of the path [4,2,1,3] or [5,2,1,3]. </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> root = [1,2] <strong>Output:</strong> 1 </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[1, 10<sup>4</sup>]</code>.</li> 	<li><code>-100 &lt;= Node.val &lt;= 100</code></li> </ul> </div>|https://www.youtube.com/watch?v=bkxqA8Rfv04
Trees|Balanced Binary Tree|Easy|<div class="elfjS" data-track-load="description_content"><p>Given a binary tree, determine if it is <span data-keyword="height-balanced" class=" cursor-pointer relative text-dark-blue-s text-sm"><div class="popover-wrapper inline-block" data-headlessui-state=""><div><div aria-expanded="false" data-headlessui-state="" id="headlessui-popover-button-:ro:"><div><strong>height-balanced</strong></div></div><div style="position: fixed; z-index: 40; inset: 0px auto auto 0px; transform: translate(319px, 183px);"></div></div></div></span>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/10/06/balance_1.jpg" style="width: 342px; height: 221px;"> <pre><strong>Input:</strong> root = [3,9,20,null,null,15,7] <strong>Output:</strong> true </pre> <p><strong class="example">Example 2:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/10/06/balance_2.jpg" style="width: 452px; height: 301px;"> <pre><strong>Input:</strong> root = [1,2,2,3,3,null,null,4,4] <strong>Output:</strong> false </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> root = [] <strong>Output:</strong> true </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[0, 5000]</code>.</li> 	<li><code>-10<sup>4</sup> &lt;= Node.val &lt;= 10<sup>4</sup></code></li> </ul> </div>|https://www.youtube.com/watch?v=QfJsau0ItOY
Trees|Same Tree|Easy|<div class="elfjS" data-track-load="description_content"><p>Given the roots of two binary trees <code>p</code> and <code>q</code>, write a function to check if they are the same or not.</p> <p>Two binary trees are considered the same if they are structurally identical, and the nodes have the same value.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/12/20/ex1.jpg" style="width: 622px; height: 182px;"> <pre><strong>Input:</strong> p = [1,2,3], q = [1,2,3] <strong>Output:</strong> true </pre> <p><strong class="example">Example 2:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/12/20/ex2.jpg" style="width: 382px; height: 182px;"> <pre><strong>Input:</strong> p = [1,2], q = [1,null,2] <strong>Output:</strong> false </pre> <p><strong class="example">Example 3:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/12/20/ex3.jpg" style="width: 622px; height: 182px;"> <pre><strong>Input:</strong> p = [1,2,1], q = [1,1,2] <strong>Output:</strong> false </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in both trees is in the range <code>[0, 100]</code>.</li> 	<li><code>-10<sup>4</sup> &lt;= Node.val &lt;= 10<sup>4</sup></code></li> </ul> </div>|https://www.youtube.com/watch?v=vRbbcKXCxOw
Trees|Subtree of Another Tree|Easy|<div class="elfjS" data-track-load="description_content"><p>Given the roots of two binary trees <code>root</code> and <code>subRoot</code>, return <code>true</code> if there is a subtree of <code>root</code> with the same structure and node values of<code> subRoot</code> and <code>false</code> otherwise.</p> <p>A subtree of a binary tree <code>tree</code> is a tree that consists of a node in <code>tree</code> and all of this node's descendants. The tree <code>tree</code> could also be considered as a subtree of itself.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/04/28/subtree1-tree.jpg" style="width: 532px; height: 400px;"> <pre><strong>Input:</strong> root = [3,4,5,1,2], subRoot = [4,1,2] <strong>Output:</strong> true </pre> <p><strong class="example">Example 2:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/04/28/subtree2-tree.jpg" style="width: 502px; height: 458px;"> <pre><strong>Input:</strong> root = [3,4,5,1,2,null,null,null,null,0], subRoot = [4,1,2] <strong>Output:</strong> false </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the <code>root</code> tree is in the range <code>[1, 2000]</code>.</li> 	<li>The number of nodes in the <code>subRoot</code> tree is in the range <code>[1, 1000]</code>.</li> 	<li><code>-10<sup>4</sup> &lt;= root.val &lt;= 10<sup>4</sup></code></li> 	<li><code>-10<sup>4</sup> &lt;= subRoot.val &lt;= 10<sup>4</sup></code></li> </ul> </div>|https://www.youtube.com/watch?v=E36O5SWp-LE
Trees|Lowest Common Ancestor of a Binary Search Tree|Medium|<div class="elfjS" data-track-load="description_content"><p>Given a binary search tree (BST), find the lowest common ancestor (LCA) node of two given nodes in the BST.</p> <p>According to the <a href="https://en.wikipedia.org/wiki/Lowest_common_ancestor" target="_blank">definition of LCA on Wikipedia</a>: “The lowest common ancestor is defined between two nodes <code>p</code> and <code>q</code> as the lowest node in <code>T</code> that has both <code>p</code> and <code>q</code> as descendants (where we allow <strong>a node to be a descendant of itself</strong>).”</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2018/12/14/binarysearchtree_improved.png" style="width: 200px; height: 190px;"> <pre><strong>Input:</strong> root = [6,2,8,0,4,7,9,null,null,3,5], p = 2, q = 8 <strong>Output:</strong> 6 <strong>Explanation:</strong> The LCA of nodes 2 and 8 is 6. </pre> <p><strong class="example">Example 2:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2018/12/14/binarysearchtree_improved.png" style="width: 200px; height: 190px;"> <pre><strong>Input:</strong> root = [6,2,8,0,4,7,9,null,null,3,5], p = 2, q = 4 <strong>Output:</strong> 2 <strong>Explanation:</strong> The LCA of nodes 2 and 4 is 2, since a node can be a descendant of itself according to the LCA definition. </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> root = [2,1], p = 2, q = 1 <strong>Output:</strong> 2 </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[2, 10<sup>5</sup>]</code>.</li> 	<li><code>-10<sup>9</sup> &lt;= Node.val &lt;= 10<sup>9</sup></code></li> 	<li>All <code>Node.val</code> are <strong>unique</strong>.</li> 	<li><code>p != q</code></li> 	<li><code>p</code> and <code>q</code> will exist in the BST.</li> </ul> </div>|https://www.youtube.com/watch?v=gs2LMfuOR9k
Trees|Binary Tree Level Order Traversal|Medium|<div class="elfjS" data-track-load="description_content"><p>Given the <code>root</code> of a binary tree, return <em>the level order traversal of its nodes' values</em>. (i.e., from left to right, level by level).</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/02/19/tree1.jpg" style="width: 277px; height: 302px;"> <pre><strong>Input:</strong> root = [3,9,20,null,null,15,7] <strong>Output:</strong> [[3],[9,20],[15,7]] </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> root = [1] <strong>Output:</strong> [[1]] </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> root = [] <strong>Output:</strong> [] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[0, 2000]</code>.</li> 	<li><code>-1000 &lt;= Node.val &lt;= 1000</code></li> </ul> </div>|https://www.youtube.com/watch?v=6ZnyEApgFYg
Trees|Binary Tree Right Side View|Medium|<div class="elfjS" data-track-load="description_content"><p>Given the <code>root</code> of a binary tree, imagine yourself standing on the <strong>right side</strong> of it, return <em>the values of the nodes you can see ordered from top to bottom</em>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/02/14/tree.jpg" style="width: 401px; height: 301px;"> <pre><strong>Input:</strong> root = [1,2,3,null,5,null,4] <strong>Output:</strong> [1,3,4] </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> root = [1,null,3] <strong>Output:</strong> [1,3] </pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> root = [] <strong>Output:</strong> [] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[0, 100]</code>.</li> 	<li><code>-100 &lt;= Node.val &lt;= 100</code></li> </ul> </div>|https://www.youtube.com/watch?v=d4zLyf32e3I
Trees|Count Good Nodes In Binary Tree|Medium|<div class="elfjS" data-track-load="description_content"><p>Given a binary tree <code>root</code>, a node <em>X</em> in the tree is named&nbsp;<strong>good</strong> if in the path from root to <em>X</em> there are no nodes with a value <em>greater than</em> X.</p> <p>Return the number of <strong>good</strong> nodes in the binary tree.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <p><strong><img alt="" src="https://assets.leetcode.com/uploads/2020/04/02/test_sample_1.png" style="width: 263px; height: 156px;"></strong></p> <pre><strong>Input:</strong> root = [3,1,4,3,null,1,5] <strong>Output:</strong> 4 <strong>Explanation:</strong> Nodes in blue are <strong>good</strong>. Root Node (3) is always a good node. Node 4 -&gt; (3,4) is the maximum value in the path starting from the root. Node 5 -&gt; (3,4,5) is the maximum value in the path Node 3 -&gt; (3,1,3) is the maximum value in the path.</pre> <p><strong class="example">Example 2:</strong></p> <p><strong><img alt="" src="https://assets.leetcode.com/uploads/2020/04/02/test_sample_2.png" style="width: 157px; height: 161px;"></strong></p> <pre><strong>Input:</strong> root = [3,3,null,4,2] <strong>Output:</strong> 3 <strong>Explanation:</strong> Node 2 -&gt; (3, 3, 2) is not good, because "3" is higher than it.</pre> <p><strong class="example">Example 3:</strong></p> <pre><strong>Input:</strong> root = [1] <strong>Output:</strong> 1 <strong>Explanation:</strong> Root is considered as <strong>good</strong>.</pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the binary tree is in the range&nbsp;<code>[1, 10^5]</code>.</li> 	<li>Each node's value is between <code>[-10^4, 10^4]</code>.</li> </ul></div>|https://www.youtube.com/watch?v=7cp5imvDzl4
Trees|Validate Binary Search Tree|Medium|<div class="elfjS" data-track-load="description_content"><p>Given the <code>root</code> of a binary tree, <em>determine if it is a valid binary search tree (BST)</em>.</p> <p>A <strong>valid BST</strong> is defined as follows:</p> <ul> 	<li>The left <span data-keyword="subtree" class=" cursor-pointer relative text-dark-blue-s text-sm"><div class="popover-wrapper inline-block" data-headlessui-state=""><div><div aria-expanded="false" data-headlessui-state="" id="headlessui-popover-button-:ro:"><div>subtree</div></div><div style="position: fixed; z-index: 40; inset: 0px auto auto 0px; transform: translate(120px, 257px);"></div></div></div></span> of a node contains only nodes with keys <strong>less than</strong> the node's key.</li> 	<li>The right subtree of a node contains only nodes with keys <strong>greater than</strong> the node's key.</li> 	<li>Both the left and right subtrees must also be binary search trees.</li> </ul> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/12/01/tree1.jpg" style="width: 302px; height: 182px;"> <pre><strong>Input:</strong> root = [2,1,3] <strong>Output:</strong> true </pre> <p><strong class="example">Example 2:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/12/01/tree2.jpg" style="width: 422px; height: 292px;"> <pre><strong>Input:</strong> root = [5,1,4,null,null,3,6] <strong>Output:</strong> false <strong>Explanation:</strong> The root node's value is 5 but its right child's value is 4. </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[1, 10<sup>4</sup>]</code>.</li> 	<li><code>-2<sup>31</sup> &lt;= Node.val &lt;= 2<sup>31</sup> - 1</code></li> </ul> </div>|https://www.youtube.com/watch?v=s6ATEkipzow
Trees|Kth Smallest Element In a Bst|Medium|<div class="elfjS" data-track-load="description_content"><p>Given the <code>root</code> of a binary search tree, and an integer <code>k</code>, return <em>the</em> <code>k<sup>th</sup></code> <em>smallest value (<strong>1-indexed</strong>) of all the values of the nodes in the tree</em>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/01/28/kthtree1.jpg" style="width: 212px; height: 301px;"> <pre><strong>Input:</strong> root = [3,1,4,null,2], k = 1 <strong>Output:</strong> 1 </pre> <p><strong class="example">Example 2:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/01/28/kthtree2.jpg" style="width: 382px; height: 302px;"> <pre><strong>Input:</strong> root = [5,3,6,2,4,null,null,1], k = 3 <strong>Output:</strong> 3 </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is <code>n</code>.</li> 	<li><code>1 &lt;= k &lt;= n &lt;= 10<sup>4</sup></code></li> 	<li><code>0 &lt;= Node.val &lt;= 10<sup>4</sup></code></li> </ul> <p>&nbsp;</p> <p><strong>Follow up:</strong> If the BST is modified often (i.e., we can do insert and delete operations) and you need to find the kth smallest frequently, how would you optimize?</p> </div>|https://www.youtube.com/watch?v=5LUXSvjmGCw
Trees|Construct Binary Tree From Preorder And Inorder Traversal|Medium|<div class="elfjS" data-track-load="description_content"><p>Given two integer arrays <code>preorder</code> and <code>inorder</code> where <code>preorder</code> is the preorder traversal of a binary tree and <code>inorder</code> is the inorder traversal of the same tree, construct and return <em>the binary tree</em>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2021/02/19/tree.jpg" style="width: 277px; height: 302px;"> <pre><strong>Input:</strong> preorder = [3,9,20,15,7], inorder = [9,3,15,20,7] <strong>Output:</strong> [3,9,20,null,null,15,7] </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> preorder = [-1], inorder = [-1] <strong>Output:</strong> [-1] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= preorder.length &lt;= 3000</code></li> 	<li><code>inorder.length == preorder.length</code></li> 	<li><code>-3000 &lt;= preorder[i], inorder[i] &lt;= 3000</code></li> 	<li><code>preorder</code> and <code>inorder</code> consist of <strong>unique</strong> values.</li> 	<li>Each value of <code>inorder</code> also appears in <code>preorder</code>.</li> 	<li><code>preorder</code> is <strong>guaranteed</strong> to be the preorder traversal of the tree.</li> 	<li><code>inorder</code> is <strong>guaranteed</strong> to be the inorder traversal of the tree.</li> </ul> </div>|https://www.youtube.com/watch?v=ihj4IQGZ2zc
Trees|Binary Tree Maximum Path Sum|Hard|<div class="elfjS" data-track-load="description_content"><p>A <strong>path</strong> in a binary tree is a sequence of nodes where each pair of adjacent nodes in the sequence has an edge connecting them. A node can only appear in the sequence <strong>at most once</strong>. Note that the path does not need to pass through the root.</p> <p>The <strong>path sum</strong> of a path is the sum of the node's values in the path.</p> <p>Given the <code>root</code> of a binary tree, return <em>the maximum <strong>path sum</strong> of any <strong>non-empty</strong> path</em>.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/10/13/exx1.jpg" style="width: 322px; height: 182px;"> <pre><strong>Input:</strong> root = [1,2,3] <strong>Output:</strong> 6 <strong>Explanation:</strong> The optimal path is 2 -&gt; 1 -&gt; 3 with a path sum of 2 + 1 + 3 = 6. </pre> <p><strong class="example">Example 2:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/10/13/exx2.jpg"> <pre><strong>Input:</strong> root = [-10,9,20,null,null,15,7] <strong>Output:</strong> 42 <strong>Explanation:</strong> The optimal path is 15 -&gt; 20 -&gt; 7 with a path sum of 15 + 20 + 7 = 42. </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[1, 3 * 10<sup>4</sup>]</code>.</li> 	<li><code>-1000 &lt;= Node.val &lt;= 1000</code></li> </ul> </div>|https://www.youtube.com/watch?v=Hr5cWUld4vU
Trees|Serialize And Deserialize Binary Tree|Hard|<div class="elfjS" data-track-load="description_content"><p>Serialization is the process of converting a data structure or object into a sequence of bits so that it can be stored in a file or memory buffer, or transmitted across a network connection link to be reconstructed later in the same or another computer environment.</p> <p>Design an algorithm to serialize and deserialize a binary tree. There is no restriction on how your serialization/deserialization algorithm should work. You just need to ensure that a binary tree can be serialized to a string and this string can be deserialized to the original tree structure.</p> <p><strong>Clarification:</strong> The input/output format is the same as <a href="https://support.leetcode.com/hc/en-us/articles/360011883654-What-does-1-null-2-3-mean-in-binary-tree-representation-" target="_blank">how LeetCode serializes a binary tree</a>. You do not necessarily need to follow this format, so please be creative and come up with different approaches yourself.</p> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <img alt="" src="https://assets.leetcode.com/uploads/2020/09/15/serdeser.jpg" style="width: 442px; height: 324px;"> <pre><strong>Input:</strong> root = [1,2,3,null,null,4,5] <strong>Output:</strong> [1,2,3,null,null,4,5] </pre> <p><strong class="example">Example 2:</strong></p> <pre><strong>Input:</strong> root = [] <strong>Output:</strong> [] </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li>The number of nodes in the tree is in the range <code>[0, 10<sup>4</sup>]</code>.</li> 	<li><code>-1000 &lt;= Node.val &lt;= 1000</code></li> </ul> </div>|https://www.youtube.com/watch?v=u4JAi2JJhI8
Heap / Priority Queue|Kth Largest Element In a Stream|Easy|<div class="elfjS" data-track-load="description_content"><p>Design a class to find the <code>k<sup>th</sup></code> largest element in a stream. Note that it is the <code>k<sup>th</sup></code> largest element in the sorted order, not the <code>k<sup>th</sup></code> distinct element.</p> <p>Implement <code>KthLargest</code> class:</p> <ul> 	<li><code>KthLargest(int k, int[] nums)</code> Initializes the object with the integer <code>k</code> and the stream of integers <code>nums</code>.</li> 	<li><code>int add(int val)</code> Appends the integer <code>val</code> to the stream and returns the element representing the <code>k<sup>th</sup></code> largest element in the stream.</li> </ul> <p>&nbsp;</p> <p><strong class="example">Example 1:</strong></p> <pre><strong>Input</strong> ["KthLargest", "add", "add", "add", "add", "add"] [[3, [4, 5, 8, 2]], [3], [5], [10], [9], [4]] <strong>Output</strong> [null, 4, 5, 5, 8, 8] <strong>Explanation</strong> KthLargest kthLargest = new KthLargest(3, [4, 5, 8, 2]); kthLargest.add(3);   // return 4 kthLargest.add(5);   // return 5 kthLargest.add(10);  // return 5 kthLargest.add(9);   // return 8 kthLargest.add(4);   // return 8 </pre> <p>&nbsp;</p> <p><strong>Constraints:</strong></p> <ul> 	<li><code>1 &lt;= k &lt;= 10<sup>4</sup></code></li> 	<li><code>0 &lt;= nums.length &lt;= 10<sup>4</sup></code></li> 	<li><code>-10<sup>4</sup> &lt;= nums[i] &lt;= 10<sup>4</sup></code></li> 	<li><code>-10<sup>4</sup> &lt;= val &lt;= 10<sup>4</sup></code></li> 	<li>At most <code>10<sup>4</sup></code> calls will be made to <code>add</code>.</li> 	<li>It is guaranteed that there will be at least <code>k</code> elements in the array when you search for the <code>k<sup>th</sup></code> element.</li> </ul> </div>|https://www.youtube.com/watch?v=hOjcdrqMoQ8
